school_term,title,college,level,crn,department
201620,Dissertation,College of Engineering,6398,27786,Civil Engineering
201620,Lab for GEOL 1313 (C),College of Science,1103,27708,Geology
201620,Aerospace Propulsion,College of Engineering,5335,28694,Mechanical Engineering
201620,Undergraduate Research,Office of Academic Affairs,4033,26773,Research Course
201620,Undergraduate Research,Office of Academic Affairs,4033,26896,Research Course
201620,Undergraduate Research,Office of Academic Affairs,4033,26900,Research Course
201620,Undergraduate Research,Office of Academic Affairs,4033,26908,Research Course
201620,Undergraduate Research,Office of Academic Affairs,4033,26923,Research Course
201620,Undergraduate Research,Office of Academic Affairs,4033,26935,Research Course
201620,Selected Topics,College of Liberal Arts,4350,26419,Communication
201620,Undergraduate Research,Office of Academic Affairs,4033,26431,Research Course
201620,Intermediate Multimedia Writng,College of Liberal Arts,2373,26437,Communication
201620,Undergraduate Research,Office of Academic Affairs,4033,26485,Research Course
201620,Geology for Engineers,College of Science,3321,27835,Geology
201620,Appl Lessons for Perf Majors,College of Liberal Arts,5391,27891,Music Applied
201620,Selected Topics,College of Liberal Arts,4350,26509,Communication
201620,Undergraduate Research,Office of Academic Affairs,4033,26533,Research Course
201620,Undergraduate Research,Office of Academic Affairs,4033,26542,Research Course
201620,Undergraduate Research,Office of Academic Affairs,4033,26556,Research Course
201620,Undergraduate Research,Office of Academic Affairs,4033,26598,Research Course
201620,Undergraduate Research,Office of Academic Affairs,4033,26612,Research Course
201620,Undergraduate Research,Office of Academic Affairs,4033,26614,Research Course
201620,Undergraduate Research,Office of Academic Affairs,4033,26658,Research Course
201620,Undergraduate Research,Office of Academic Affairs,4033,26661,Research Course
201620,Dissertation,College of Liberal Arts,6398,29085,History
201620,Dissertation,College of Liberal Arts,6399,27816,Rhetoric and Writing Studies
201620,Individual Studies,Engineer.Sci/Interdisciplinary,6191,20886,Materials Science & Engr.
201620,Math for Social Sciences I (C),College of Science,1320,21476,Mathematics
201620,Math for Social Sciences I (C),College of Science,1320,21482,Mathematics
201620,Software Design I,College of Engineering,2372,21489,Electrical & Computer Eng.
201620,Individual Studies,College of Engineering,5391,22051,Civil Engineering
201620,Graduate Research,College of Engineering,5394,22055,Civil Engineering
201620,Printmaking III,College of Liberal Arts,3305,21565,Printmaking
201620,Master's Thesis,College of Engineering,5398,20486,Computer Science
201620,Individual Instruction,College of Liberal Arts,3295,21597,Music Applied
201620,Individual Instruction,College of Liberal Arts,3391,21608,Music Applied
201620,Spanish Two,College of Liberal Arts,1302,22125,Spanish
201620,Independent Study,College of Liberal Arts,4353,20519,Philosophy
201620,Writing Practicum,College of Liberal Arts,5396,21023,English
201620,Thesis,College of Engineering,5399,20011,Civil Engineering
201620,Individual Studies,Engineer.Sci/Interdisciplinary,6291,20549,Materials Science & Engr.
201620,Graduate Research Projects,Engineer.Sci/Interdisciplinary,6194,20552,Materials Science & Engr.
201620,Expos. English Composition (C),College of Liberal Arts,1311,21101,English
201620,Practice-Oriented Experiences,College of Engineering,4183,20104,Metallurgical & Materials Eng.
201620,Thesis,College of Engineering,5398,20556,Civil Engineering
201620,Independent Research,College of Science,6390,20602,Biology
201620,Public Speaking (C),College of Liberal Arts,1301,21225,Communication
201620,Individual Instruction,College of Liberal Arts,3295,21797,Music Applied
201620,Individual Studies,Engineer.Sci/Interdisciplinary,6391,20233,Materials Science & Engr.
201620,Electronic Mat Sci & Tech,College of Engineering,3309,21251,Metallurgical & Materials Eng.
201620,Individual Studies,Engineer.Sci/Interdisciplinary,6391,20235,Materials Science & Engr.
201620,Individual Studies,Engineer.Sci/Interdisciplinary,6391,20239,Materials Science & Engr.
201620,Independent Study,College of Liberal Arts,4390,21283,Sociology
201620,Special Problems,College of Science,4398,20315,Biology
201620,Introduction to Research,College of Science,4376,20781,Chemistry
201620,French Literature Since 1715,College of Liberal Arts,3303,21365,French
201620,German Four,College of Liberal Arts,2302,21370,German
201620,Biomechanics,College of Health Sciences,4313,21945,Kinesiology
201620,Directed Study in Geology,College of Science,5362,21949,Geology
201620,Directed Study, Geology,College of Science,4366,21963,Geology
201620,Interm Spanish Two Non-Nat Spk,College of Liberal Arts,2302,21432,Spanish
201620,Topics in Geological Sciences,College of Science,4315,26203,Geology
201620,Graduate Projects,College of Engineering,5396,25097,Electrical & Computer Eng.
201620,Undergrad Rsrch in Metallurgy,College of Engineering,4375,25116,Metallurgical & Materials Eng.
201620,Introduction to GIS,College of Science,4385,26297,Geology
201620,Management Information Systems,College of Business Admin.,3345,24500,Computer Information Systems
201620,Adv Topics in Civ Engr II,College of Engineering,4376,26256,Civil Engineering
201620,History & Systems Psychology,College of Liberal Arts,4309,24536,Psychology
201620,Independent Research,College of Science,6690,25722,Biology
201620,Applied Regression Analysis,College of Science,4385,24614,Statistics
201620,Conditioning,College of Health Sciences,1122,24633,Physical Edu. Activity Courses
201620,Neurobiology,College of Science,4384,24637,Zoology
201620,Honors Thesis,College of Liberal Arts,4353,24642,Psychology
201620,Strategic Survey of Asia,College of Liberal Arts,5314,25770,Defense & Strategic Studies
201620,Independent Study,College of Health Sciences,4390,25786,Kinesiology
201620,Rhetoric & Composition I,College of Liberal Arts,1301,25249,Rhetoric and Writing Studies
201620,Rhetoric & Composition I,College of Liberal Arts,1301,25255,Rhetoric and Writing Studies
201620,Forms & Techniques of Poetry,College of Liberal Arts,5365,24731,Creative Writing
201620,Rhetoric & Composition 2,College of Liberal Arts,1302,25293,Rhetoric and Writing Studies
201620,Individual Studies,College of Engineering,6391,24774,Computer Science
201620,Intro to English Education,College of Liberal Arts,5339,25336,English
201620,American Gover & Politics (C),College of Liberal Arts,2311,25361,Political Science
201620,Adv Composition & Rhetoric II,College of Liberal Arts,3366,25380,Rhetoric and Writing Studies
201620,Fuzzy Logic & Engineering,College of Engineering,5366,25939,Electrical & Computer Eng.
201620,Adv Topics in Geological Scien,College of Science,6315,25948,Geology
201620,World History Since 1500 (C),College of Liberal Arts,2302,25955,History
201620,Independent Research,College of Liberal Arts,4352,25982,Psychology
201620,Pedagogical Issues in Spanish,College of Liberal Arts,3312,24909,Spanish
201620,Directed Study in Geology,College of Science,5362,24949,Geology
201620,Thesis II,College of Liberal Arts,5399,25500,Philosophy
201620,First Year Research,College of Liberal Arts,6380,24409,Psychology
201620,Research & Critical Writ (C),College of Liberal Arts,1312,25554,English
201620,Select Adv Topics Biol Science,College of Science,5301,28410,Biology
201620,Quantitative Methods-Business,College of Business Admin.,5311,27495,Quantitative Methods
201620,Graduate Research,College of Health Sciences,5379,27711,Kinesiology
201620,Intro. to Remote Sensing,College of Science,4336,27899,Geophysics
201620,Doctoral Research,Engineer.Sci/Interdisciplinary,6396,28909,Environmental Science & Engr.
201620,Dissertation,College of Health Sciences,6398,27129,College of Health Sciences
201620,Directed Study in Geology,College of Science,6105,27324,Geology
201620,Adv Topics in Geological Scien,College of Science,6115,28437,Geology
201620,Pract Appl of Strength/Condit,College of Health Sciences,4341,27400,Kinesiology
201620,Business Law,College of Business Admin.,4391,28416,Business Law
201620,Thesis,College of Liberal Arts,5399,28036,Sociology
201620,Hist of Am Mus Ed (UTPB),UT Permian Basin,3316,29011,Music (UT Permian Basin)
201620,Juven Delinq & Justice (UTPB),UT Permian Basin,3332,29017,Criminal Justice (UTPB)
201620,Multi-Cultural Marketing,College of Business Admin.,4307,22525,Marketing
201620,Accelerated Portuguese One,College of Liberal Arts,2301,23100,Portuguese
201620,Intro-Mgmt/Organizational Beha,College of Business Admin.,3303,23129,Management
201620,Special Topics,College of Engineering,5390,24251,Metallurgical & Materials Eng.
201620,Lab for Organic Chemistry 2325,College of Science,2125,22565,Chemistry
201620,Lab for Chemistry,College of Science,3131,23667,Chemistry
201620,Doctoral Research,College of Engineering,6694,23711,Computer Science
201620,Introduction to Research,College of Science,4176,23198,Chemistry
201620,Resrch in Biological Sciences,College of Science,5502,23781,Biology
201620,Honors Senior Thesis,Office of Academic Affairs,4395,22208,Honors
201620,Dissertation,College of Science,6398,22686,Biology
201620,Independent Research,College of Science,6190,23796,Biology
201620,Independent Research,College of Science,6190,23805,Biology
201620,Independent Research,College of Science,6290,23820,Biology
201620,Independent Research,College of Science,6290,23828,Biology
201620,Developmental Variations,College of Education,3300,22262,Educ. Psych. & Counseling
201620,Dissertation,College of Health Sciences,6399,22733,College of Health Sciences
201620,Lab for EE 1305,College of Engineering,1105,22735,Electrical & Computer Eng.
201620,Nrsg Care Persons w/Psyc Illns,School of Nursing,4313,23320,Nursing
201620,Theatre Pract/Non-Majors,College of Liberal Arts,4304,22287,Theatre
201620,Introductory Electromagnetism,College of Science,2421,22294,Physics
201620,Advanced Drawing V,College of Liberal Arts,3338,22303,Drawing
201620,Seminar/Critical Inquiry (C),Office of Academic Affairs,1301,23338,University
201620,Rsrch & Applications in SPED,College of Education,5378,23366,Special Education
201620,Independent Research,College of Science,6590,23891,Biology
201620,Individual Instruction,College of Liberal Arts,1290,22815,Music Applied
201620,Sel Topics in Drama/Theatre,College of Liberal Arts,4340,22905,Theatre
201620,Final Project,College of Liberal Arts,5393,24038,MA in Interdisc. Studies
201620,Individual Studies,College of Engineering,5391,22948,Electrical & Computer Eng.
201620,Thesis,College of Engineering,5398,22980,Metallurgical & Materials Eng.
201620,Individual Studies,College of Engineering,5191,22466,Metallurgical & Materials Eng.
201620,Seminar,College of Science,5130,23041,Biology
201620,Sci. Princpls-Strength/Tr/Cond,College of Health Sciences,4340,24135,Kinesiology
201620,Issues in Higher Education,Graduate Studies,6100,24180,Graduate Studies
201620,Directed Study, Geology,College of Science,4166,27909,Geology
201620,Individual Studies,Engineer.Sci/Interdisciplinary,6291,28968,Materials Science & Engr.
201620,Thesis,College of Science,5399,29054,Mathematics
201620,Organismal Biology,College of Science,1306,27691,Biology
201620,Clinical Ed in PT II,College of Health Sciences,5425,27210,Physical Therapy
201620,Seminar/Critical Inquiry (C),Office of Academic Affairs,1301,27512,University
201620,Fndts of Tech Training (UTRGV),No College Designated,3301,29144,Technology Education (UTRGV)
201620,Sales Management (UTPB),UT Permian Basin,3307,29133,Marketing (UT Permian Basin)
201620,Intro to Statistics (UTPB),UT Permian Basin,6310,28948,Kinesiology (UTPB)
201620,Strategic Theory & Modern War,College of Liberal Arts,5301,28090,Defense & Strategic Studies
201620,Undergraduate Research,Office of Academic Affairs,4033,26673,Research Course
201620,Undergraduate Research,Office of Academic Affairs,4033,26696,Research Course
201620,Undergraduate Research,Office of Academic Affairs,4033,26813,Research Course
201620,Thesis,College of Business Admin.,5399,26309,Economics
201620,Thesis,College of Business Admin.,5399,26310,Economics
201620,Special Issues in Social Work,College of Health Sciences,5393,26319,Social Work
201620,Undergraduate Research,Office of Academic Affairs,4033,26846,Research Course
201620,Undergraduate Research,Office of Academic Affairs,4033,26954,Research Course
201620,Thesis,College of Engineering,5399,26413,Metallurgical & Materials Eng.
201620,Introductory Mechanics,College of Science,2420,26481,Physics
201620,Directed Study in Geology,College of Science,6205,27335,Geology
201620,Nursing Theories and Processes,School of Nursing,5310,28358,Nursing
201620,Undergraduate Research,Office of Academic Affairs,4033,26552,Research Course
201620,Undergraduate Research,Office of Academic Affairs,4033,26569,Research Course
201620,Undergraduate Research,Office of Academic Affairs,4033,26630,Research Course
201620,Undergraduate Research,Office of Academic Affairs,4033,26668,Research Course
201620,Activity Course,College of Health Sciences,1101,28190,Physical Edu. Activity Courses
201620,Directed Study, Geology,College of Science,4266,27250,Geology
201620,Rhetoric & Composition I,College of Liberal Arts,1301,27395,Rhetoric and Writing Studies
201620,Directed Study, Geology,College of Science,4166,20421,Geology
201620,Thesis,College of Science,5399,20440,Geology
201620,Honors Thesis,College of Liberal Arts,4353,20460,Psychology
201620,Master's Thesis,College of Engineering,5399,20905,Computer Science
201620,General Chemistry,College of Science,1305,21466,Chemistry
201620,Doctoral Research,Engineer.Sci/Interdisciplinary,6396,20930,Environmental Science & Engr.
201620,Directed Study in Geology,College of Science,5262,22169,Geology
201620,Graduate Research in Chemistry,College of Science,5196,20967,Chemistry
201620,Metals VII,College of Liberal Arts,4313,22089,Metals
201620,Writing Processes of Children,College of Liberal Arts,4354,21015,English
201620,Individual Instruction,College of Liberal Arts,1195,21610,Music Applied
201620,Master's Thesis,College of Engineering,5398,20027,Computer Science
201620,Thesis,College of Liberal Arts,5399,20059,History
201620,Research & Critical Writ (C),College of Liberal Arts,1312,21116,English
201620,Research & Critical Writ (C),College of Liberal Arts,1312,21119,English
201620,Research & Critical Writ (C),College of Liberal Arts,1312,21126,English
201620,Engineering Problems,College of Engineering,4371,20110,Metallurgical & Materials Eng.
201620,Graduate Research,College of Engineering,5294,20125,Metallurgical & Materials Eng.
201620,Undergrad Research-Metallurgy,College of Engineering,4175,20604,Metallurgical & Materials Eng.
201620,Cheerleading,College of Health Sciences,1125,21185,Physical Edu. Activity Courses
